NBC,BOX NO.,REV,6 DIGIT,LENGTH,WIDTH,DEPTH,STYLE,TEST,PRINTING,COMENT,PZS X HOJA,MEDIDA CORTE A CORTE,ANCHO  CM,LARGO CM,TAPA CM,ALTURA CM,FONDO CM,MATERIAL,OUT/LENGTH,OUT/WIDTH,OUT/DEPTH,CUBE/1,CUBE/12,CUBE/6,CUBE/4,GIR&LNTH/84,SQ FT OF ITEM,LB PER SQ FT,ITEM WT/LB,T/B FLAT DIM,L/R FLAT DIM
NBC111,101,NA,600444,10.375,7.1875,7,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,10.625,7.4375,7.5,0.343,0.029,0.057,0.086,40.5,3.8124,0.122,0.4651,15.1875,17.5625
NBC111,151,NA,600452,12.625,10.625,10.25,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,12.875,10.875,10.75,0.871,0.073,0.145,0.218,56.125,7.2266,0.122,0.8816,21.875,23.25
NBC111,1513,NA,600450,8.125,5.4375,4.5,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,8.375,5.6875,5,0.138,0.011,0.023,0.034,29.75,2.1308,0.122,0.26,10.9375,13.5625
NBC111,1646,NA,600489,11.8125,11.8125,10.6875,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,12.0625,12.0625,11.1875,0.942,0.079,0.157,0.236,58.563,7.8875,0.122,0.9623,23.5,23.625
NBC111,724,NA,25143,24,17.875,12.125,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX as 6 DIGIT 722015,NA,NA,NA,NA,NA,NA,NA,NA,24.25,18.125,12.625,3.211,0.268,0.535,0.803,85.75,18.2072,0.122,2.2213,31,41.875
NBC111,1775,NA,25144,15.5625,6.3125,8.6875,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX as 6 DIGIT 119661,NA,NA,NA,NA,NA,NA,NA,NA,15.8125,6.5625,9.1875,0.552,0.046,0.092,0.138,47.313,4.9743,0.122,0.6069,16,21.875
NBC111,1774,NA,25145,10.875,8.5625,8.6875,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX as 6 DIGIT 119652,NA,NA,NA,NA,NA,NA,NA,NA,11.125,8.8125,9.1875,0.521,0.043,0.087,0.13,47.125,5.0641,0.122,0.6178,18.25,19.4375
NBC111,1902,NA,600516,17.3125,13,7.875,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,17.5625,13.25,8.375,1.128,0.094,0.188,0.282,60.813,9.3271,0.122,1.1379,21.875,30.3125
NBC111,1769,NA,25146,6.625,6.625,30.5,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX as 6 DIGIT 2210048,NA,NA,NA,NA,NA,NA,NA,NA,6.875,6.875,31,0.848,0.071,0.141,0.212,82.625,7.5022,0.122,0.9153,38.125,13.25
NBC111,2094,NA,25147,19.375,19.375,17,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX as 6 DIGIT 723936,NA,NA,NA,NA,NA,NA,NA,NA,19.625,19.625,17.5,3.9,0.325,0.65,0.975,93.875,20.3902,0.122,2.4876,37.375,38.75
NBC111,294,NA,600517,19.3125,14.5625,11,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,19.5625,14.8125,11.5,1.928,0.161,0.321,0.482,72.188,12.6622,0.122,1.5448,26.5625,33.875
NBC111,3737,NA,600438,5.5,5.5,13.375,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,5.75,5.75,13.875,0.265,0.022,0.044,0.066,45,3.255,0.122,0.3971,19.875,11
NBC111,7-1596,NA,600482,10.4375,10.4375,17.125,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,10.6875,10.6875,17.625,1.165,0.097,0.194,0.291,67.313,8.5583,0.122,1.0441,28.5625,20.875
NBC111,3503,NA,25148,5.5,5.5,12.625,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX as 6 DIGIT 113425,NA,NA,NA,NA,NA,NA,NA,NA,5.75,5.75,13.125,0.251,0.021,0.042,0.063,43.5,3.1287,0.122,0.3817,19.125,11
NBC115,503H-WHITE,NA,4350,5.0625,5.0625,10.75,TTQB,.024CCNB,PLAIN ,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,A1-1/2-WHITE,NA,112577,3.0625,3.0625,5.1875,TTQB,.018CCNB,PLAIN ,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,A2-WHITE,NA,112585,3.0625,3.0625,6.75,TTQB,.018CCNB,PLAIN ,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,C4-WHITE,NA,112607,3.875,3.875,7.25,TTQB,.018CCNB,PLAIN ,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,C2-WHITE,NA,112623,3.875,3.875,5.4375,TTQB,.018CCNB,PLAIN ,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,C5-WHITE,NA,112631,3.875,3.875,9.5,TTQB,.018CCNB,PLAIN ,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,3-WHITE,NA,112640,4.25,4.25,5.0313,TTQB,.018CCNB,PLAIN ,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,7-WHITE,NA,112666,4.375,4.375,7.3125,TTQB,.018CCNB,PLAIN ,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,FR2-WHITE,NA,112682,4.625,4.625,9.125,TTQB,.018CCNB,PLAIN ,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,79I-WHITE,NA,113778,4.25,4.25,10.4375,TTQB,.024CCNB,PLAIN ,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
